F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_12,F_13
shake a leg,touch_modality,offendedness,high nelly,,second-class function,,,sleep,,bewatch,landmark
shake hands,trace,offender,highness,,apartment,,,slumber,,watch it,landscape
shake it,signature,reoffend,highness,,party,,,nap,,watch like a hawk,landslide
shake off,hint,defend,high peak,,power station,,,rest,,watchman,land-take
shake one's ass,tinge,fend,high-pitch,,places,,,clean,,watch out,landward
shake one's head,mite,offense,high-pitched,,placed,,,make_clean,,watch the pennies,landstorm
shake on it,pinch,offensive,high-powered,,hiding place,,,pick,,watch this space,zeeland
shaker,speck,spites,high pressure,,meeting place,,,strip,,watchtower,arabland
shake the pagoda tree,soupcon,spiting,high-pressure,,passing place,,,fire,,look-out,dalsland
shake up,contact,spited,high priest,,purging place,,,burn,,look out,england
in two shakes,spot,natural death,high-ranking,,resting place,,,branding,,lookouts,estland
shakemap,touch_sensation,natural disaster,high relief,,workplace,,,makes,,lookout men,finland
shakeup,tactual_sensation,natural fiber,high-resolution,,by-place,,,making,,observes,holland
fair shake,tactile_sensation,nativity,high-rise,,hiding place,,,made,,observing,inland
no great shakes,refer,nativization,high-risk,,in place,,,makest,,observed,norrland
shake table,pertain,antinatural,high road,,in place of,,,maken,,follows,nyland
trill consonant,relate,cancels,high roller,,in places,,,maker,,following,potatisland
trills,concern,cancelling,high-speed,,placeful,,,makene,,followed,rovland
trilling,come_to,canceling,high-spirited,,showplace,,,makar,,easy-to-follow,svealand
trilled,bear_on,cancelled,high spirits,,workplace,,,makane,,followable,tyskland
tril,touch_on,canceled,high-stick,,all over the place,,,like,,follower,u-land
trillime,have-to_doe_with,canceles,high tension,,in the first place,,,shuffles,,following,uppland
trilli,adjoin,call-off,high tide,,placement,,,doing,,follow-on,utland
trillimet,affect,calls off,high-toned,,en lieu et place,,,did,,follow-through,respublica
trembles,impact,calling off,high-visibility,,multiplace,,,done,,follow-up,res publica
trembling,bear_upon,called off,most high,,placement,,,can do with,,unfollow,rural area
trembled,reach,call off,on high,,areas,,,doable,,follow along,área
shivers,extend_to,call,high gear,,area!,,,do it,,followed by,areas
shivering,rival,off,more eminent,,aree,,,do right by,,follow on,area!
shivered,disturb,scratches,most eminent,,field event,,,done,,follow out,aree
wags,allude,scratching,eminents,,field house,,,do-nothing,,follow shot,shop
wagging,advert,scratched,eminenter,,field kitchen,,,do-over,,follow through,highway
wagged,partake,scratch paper,higher-pitched,,buildings,,,do up,,follow up,city
wagte,tint,scratch golfer,highest-pitched,,apartment building,,,do without,,hard act to follow,roads
wagtende,tinct,scratchs,high spirits,,main building,,,fordo,,soon to follow,transportation
gewag,signified,offsets,mellower,,office building,,,misdo,,tough act to follow,sidewalks
waggles,sensation,offsetting,more mellow,,outbuilding,,,redo,,watches over,maps
waggling,sentience,offsetted,mellowest,,homes,,,overdo,,watching over,field
waggled,sentiency,set-off,most mellow,,homing,,,to do with,,watched over,directrix
agitates,sensory_faculty,setoff,mellows,,homed,,,underdo,,watch over,local
agitating,common_sense,sets off,mellowing,,homes in,,,undo,,keep an eye,territory
agitated,good_sense,setting off,mellowed,,homende,,,getting,,views,territories
agitar,gumption,set off,high-up,,hom,,,got,,viewing,union
agitatin,taste,set,more high up,,at home,,,forget,,viewed,mexico
agitatit,taste_sensation,strikes down,most high up,,at-homeness,,,get after,,bird's-eye view,electoral
didders,gustatory_sensation,striking down,high up,,bring home,,,get along,,counterview,tribal
diddering,taste_perception,struck down,richlier,,broken home,,,get a look in,,exploded view,nation-state:
diddered,gustatory_perception,stricken down,more richly,,direct-to-home,,,get around,,page view,state:
judders,appreciation,strike down,richliest,,drive home,,,get around to,,rear-view,capitals
juddering,discernment,deletes,most richly,,far-from-home,,,get at,,worm's eye view,regions
juddered,perceptiveness,deleting,lower,,holiday home,,,get away,,worm's-eye view,property
rocks,mouthful,deleted,lowest,,homeness,,,get away from,,by-view,buildings
rocking,gustation,deletion,lows,,hometown,,,get away with,,counterview,cantonments
rocked,sense_of_taste,deletar,lowing,,homish,,,get behind,,mountain view,parking
rocke,gustatory_modality,invalidates,lowed,,mountain home,,,get better,,pay-per-view,commercial
rockok,tasting,invalidating,lowan,,nursing home,,,get by,,rear-view,
rocker,savor,invalidated,lowal,,parental home,,,get carried away,,springview,
rocking,savour,destroys,lowit,,smart home,,,get done,,viewable,
rock up,try_out,destroying,down low,,workhome,,,get down,,viewfinder,
rocky,sees,destroyed,low-altitude,,home base,,,get going,,viewgraph,
acid rock,seeing,destroyable,low back merger,,base station,,,get in,,viewless,
adult-oriented rock,saw,destroyer,lowball,,birdhouse,,,get in the boat and row,,viewpoint,
britrock,seen,destroyer escort,low bentham,,boathouse,,,get into,,viewy,
celtic rock,seent,destroying angel,low blow,,coffee house,,,get into trouble,,world view,
christian rock,selle,destruct,low bono,,common house,,,get it,,worldview,
cock rock,seda,destructible,lowboy,,little house,,,get lost,,world-view,
country rock,aftersee,destruction,low bridge,,longhouse,,,get moving,,angle of view,
deathrock,besee,destructive,low-brow,,outhouse,,,get off,,field of view,
folk rock,foresee,destructs,lowbush,,playhouse,,,get off lightly,,in full view,
glam rock,forsee,destructing,low camp,,play house,,,get on,,in view of,
glitter rock,insee,destructed,low-density,,prisonhouse,,,get on to,,out of view,
gothic rock,missee,ruins,low-down,,public house,,,get on with,,overview,
hard rock,outsee,ruining,low dutch,,pumphouse,,,get out,,point of view,
swayed,oversee,ruined,low-end,,royal house,,,get out of,,preview,
stimulates,see coming,ruine,lower,,safehouse,,,get over,,review,
